"","Trophozoites","8_h_en","24_h_en","48_h_en","72_h_en","2_h_ex","8_h_ex"
"EIN_023650:EiTRF-like I",0.0840642647884746,0,0,0,0.150559676575381,0.55581615506164,0.0976107966264223
"EIN_079420:EiTRF-like II",0.7311832415722,5.40531168259745,3.71808758396052,1.37295209791183,4.75755668893945,6.85623875989708,2.9560566524124
"EIN_086260:EiMybS1",0.464668267003444,0.22650852980868,6.56331069160856,7.56939994847322,6.84549005094437,5.33521168170579,0.641546029087524
"EIN_087120:EiMybS2",2.26303440583379,3.605257262939,2.69821847822441,5.21994291395413,4.39369076418745,2.75060650483559,0.443606651475615
"EIN_031250:EiMybS3",0,2.63226821549951,0,0.250961573533219,2.96716860753263,2.15704371014558,1.24488705912353
"EIN_095950:EiMybS4",0.20163386116965,6.10768786931437,2.68257329734758,0,1.23266075679027,0,0.594548549550354
"EIN_224050:EiMybS5",0,0.855989697308481,1.18269229751619,0,0,0.565597175854225,0
"EIN_020720:EiMybS6",0.613531652917927,0,0.807354922057604,0,0,2.07382023329167,0.263034405833794
"EIN_469690:EiMybS7",0,1.57531233068744,4.94532677726463,3.82068956055921,3.96069703930431,2.39506279951758,0
"EIN_081930:EiMybS8",4.75114232472695,0,3.99095486039699,0,0,7.85268555234858,2.38404980679516
"EIN_407300:EiMybS9",0,3.43829285157915,7.63284983011771,0.250961573533219,0,1.24488705912353,0.641546029087524
"EIN_359680:EiAda2-Like 1",0,2.27500704749987,0.422233000683048,0.286881147788162,4.98504496225347,4.64789009105921,3.44493204894218
"EIN_390470:EiAda2-like 2",0.53605290024021,3.53977919169849,5.16510798514454,2.76341157447001,0.748461233004036,2.98913900736823,2.22342254993494
"EIN_020090:EiMyb-related 1",0,0,0,0,0,0,0.27500704749987
"EIN_182440:EiZuotin-like",2.59693514238723,1.02147972741045,0.0976107966264223,0,0.0426443374084937,2.48800077083407,1.64154602908752
"EIN_223710:EiTFIIIB-like 1",0,1.92219784839637,0,5.17472598770613,0.464668267003444,2.25096157353322,1.46466826700344
"EIN_034860:EiTFIIIB-like 2",0,2.67355642399014,0,0.678071905112638,1.11103131238874,1.87970576628229,0.669026765509631
"EIN_314460:EiTFIIIB-like 3",4.05484847699562,1.22650852980868,3.44228003525258,0,0,2.35895882583233,1.67355642399014
"EIN_096130:EiTFIIIB-like 4",4.58074849176377,4.19377174339668,4.89675621847481,5.95721814916694,0,0.773996325111173,0
"EIN_284910:EiMyb1",0,0,1,0.189033824390017,1.23266075679027,0.863938450423971,0
"EIN_178740:EiMyb2",4.93781516880342,3.27798474729977,4.86591881455221,4.45811948117451,3.42492208821069,3.85299758761332,1.75702324650746
"EIN_047330:EiMyb3",4.02147972741045,1.06350294230616,7.40658768879008,11.554804664248,10.2993454113726,8.72829469011139,4.29204549249286
"EIN_206260:EiMyb4",0,5.23878685958712,3.47378691161437,0,0,1.03562390973072,0
"EIN_169560:EiMyb5",0,0,0.321928094887362,0,0,0.263034405833794,0
"EIN_168610:EiMyb6",0,1.41142624572647,0.985500430304885,0,0,0,1.20789285164133
"EIN_207200:EiMyb7",0,0,0.214124805352847,3.18269229751619,0,0.411426245726465,0
"EIN_022390:EiMyb8",0,0.956056652412403,0,0,0,0.432959407276106,0.286881147788162
"EIN_080130:EiMyb9",0.0976107966264223,3.1906148602095,0,0,0,0.575312330687437,1.46988597627446
"EIN_276810:EiMyb10",0,1.09085343045111,3.4995270242151,2.10097764772482,0.84799690655495,3.0036022366802,1.799087306074
"EIN_307410:EiMyb11",0,0,0,0,0,0,0
"EIN_307180:EiMyb12",0,0,0,1.25701061820602,0,0.250961573533219,0
"EIN_308550:EiMyb13",0,0,0,0.545968369105292,0,0,0
"EIN_095310:EiMyb14",0,0,0,4.1407786557828,4.60169651648096,2.91838623444635,0
"EIN_399710:EiMyb15",4.1243281350022,1.11103131238874,0,0.31034012061215,0,0.31034012061215,0
"EIN_490880:EiMyb16",0,1.93734439215023,3.10097764772482,0,0,2.59454854955035,3.08406426478847
"EIN_310240:EiMyb17",1.61823865559545,0,3.08915913191124,3.20163386116965,0.389566811762726,2.6915341649192,0.31034012061215
"EIN_425380:EiMyb18",0,0,2.7311832415722,0.37851162325373,1.10433665981474,1.60880924267552,0
"EIN_046410:EiMyb19",5.96947286459633,6.4615613000019,7.7624152610116,8.22182875848853,6.35508676166836,5.79207446192887,1.83187724119167
"EIN_183110:EiMyb20",1.42223300068305,2.17312743348066,4.03826057517535,0,0,0,0
"EIN_183730:EiMyb21",0.22650852980868,2.02856915219677,3.95326523901484,5.36176835941915,7.46139758992616,5.25550073314839,2.19849415363908
"EIN_169190:EiMyb22",3.36176835941915,0.27500704749987,0,0,4.6915341649192,0.475084882948783,0
"EIN_359630:EiMyb23",4.64443315240625,1.99276843076892,3.66448284036468,7.31079452706678,5.38404980679516,5.6873406873783,2.45680614923047
"EIN_379820:EiMyb24",3.42894634476948,0,0,0,0,0,0
"EIN_168860:EiMyb25",0,0,0,1.73552217729654,3.40599235967584,0.238786859587116,0
"EIN_405040:EiMyb26",0.6959938131099,3.31614574229336,5.47767732756531,3.85598969730848,3.92789645372882,2.8499992594661,1.24488705912353
"EIN_248780:EiCDC5-like",0.871843648509318,3.16027483140859,1.46988597627446,0.137503523749935,2.17632277264046,2.50080205305716,1.1243281350022
"EIN_267690:EiSNAP-like I",4.43362716708478,3.38543103719352,9.87826553789574,9.27346926617727,9.49569516262407,9.5785047829628,6.64010029789039
